,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,species_encoded,petal_area,sepal_area,petal_sepal_ratio
0,1,5.1,3.5,1.4,0.2,Iris-setosa,0,0.27999999999999997,17.849999999999998,0.01568627450980392
1,2,4.9,3.0,1.4,0.2,Iris-setosa,0,0.27999999999999997,14.700000000000001,0.019047619047619046
2,3,4.7,3.2,1.3,0.2,Iris-setosa,0,0.26,15.040000000000001,0.017287234042553192
3,4,4.6,3.1,1.5,0.2,Iris-setosa,0,0.30000000000000004,14.26,0.02103786816269285
4,5,5.0,3.6,1.4,0.2,Iris-setosa,0,0.27999999999999997,18.0,0.015555555555555553
5,6,5.4,3.9,1.7,0.4,Iris-setosa,0,0.68,21.060000000000002,0.03228869895536562
6,7,4.6,3.4,1.4,0.3,Iris-setosa,0,0.42,15.639999999999999,0.026854219948849106
7,8,5.0,3.4,1.5,0.2,Iris-setosa,0,0.30000000000000004,17.0,0.017647058823529415
8,9,4.4,2.9,1.4,0.2,Iris-setosa,0,0.27999999999999997,12.76,0.021943573667711595
9,10,4.9,3.1,1.5,0.1,Iris-setosa,0,0.15000000000000002,15.190000000000001,0.009874917709019092
10,11,5.4,3.7,1.5,0.2,Iris-setosa,0,0.30000000000000004,19.980000000000004,0.015015015015015015
11,12,4.8,3.4,1.6,0.2,Iris-setosa,0,0.32000000000000006,16.32,0.019607843137254905
12,13,4.8,3.0,1.4,0.1,Iris-setosa,0,0.13999999999999999,14.399999999999999,0.009722222222222222
13,14,4.3,3.0,1.1,0.1,Iris-setosa,0,0.11000000000000001,12.899999999999999,0.008527131782945738
14,15,5.8,4.0,1.2,0.2,Iris-setosa,0,0.24,23.2,0.010344827586206896
15,16,5.7,4.4,1.5,0.4,Iris-setosa,0,0.6000000000000001,25.080000000000002,0.02392344497607656
16,17,5.4,3.9,1.3,0.4,Iris-setosa,0,0.52,21.060000000000002,0.024691358024691357
17,18,5.1,3.5,1.4,0.3,Iris-setosa,0,0.42,17.849999999999998,0.023529411764705885
18,19,5.7,3.8,1.7,0.3,Iris-setosa,0,0.51,21.66,0.023545706371191136
19,20,5.1,3.8,1.5,0.3,Iris-setosa,0,0.44999999999999996,19.38,0.023219814241486066
20,21,5.4,3.4,1.7,0.2,Iris-setosa,0,0.34,18.36,0.01851851851851852
21,22,5.1,3.7,1.5,0.4,Iris-setosa,0,0.6000000000000001,18.87,0.031796502384737683
22,23,4.6,3.6,1.0,0.2,Iris-setosa,0,0.2,16.56,0.01207729468599034
23,24,5.1,3.3,1.7,0.5,Iris-setosa,0,0.85,16.83,0.05050505050505051
24,25,4.8,3.4,1.9,0.2,Iris-setosa,0,0.38,16.32,0.023284313725490197
25,26,5.0,3.0,1.6,0.2,Iris-setosa,0,0.32000000000000006,15.0,0.021333333333333336
26,27,5.0,3.4,1.6,0.4,Iris-setosa,0,0.6400000000000001,17.0,0.03764705882352942
27,28,5.2,3.5,1.5,0.2,Iris-setosa,0,0.30000000000000004,18.2,0.016483516483516487
28,29,5.2,3.4,1.4,0.2,Iris-setosa,0,0.27999999999999997,17.68,0.01583710407239819
29,30,4.7,3.2,1.6,0.2,Iris-setosa,0,0.32000000000000006,15.040000000000001,0.021276595744680854
